mid,name,rank,birthd0y,sign,level,vipType,vipStatus,following,fans
631612585,'胖虎不是小胖纸',5000,0,0,0,0,0,1,0
631612599,'倪你要记得爱我',10000,0,0,1,1,0,22,0
631612604,'bili_91010845246',5000,0,0,0,0,0,5,0
631612608,'bili_86004185785',5000,0,0,0,0,0,1,0
631612620,'流氓兔战斗鸡',5000,0,0,0,1,0,1,0
631612623,'冈仁波齐-辰',10000,0,1,0,0,0,7,1
631612626,'bili_52500475530',5000,0,0,0,0,0,1,0
631612628,'bili_51256497466',10000,0,0,0,0,0,4,0
631612630,'周三岁吖',10000,0,0,0,0,0,2,0
631612631,'bili_50229912700',10000,0,0,0,0,0,1,0
631612640,'污界小少女',5000,0,1,0,0,0,0,0
631612641,'泥鳅奈奈子',10000,0,1,1,1,0,42,0
631612642,'远征ensei',10000,0,0,1,0,0,40,4
631612646,'kk爱吃饭hhh',10000,1,0,1,2,1,445,0
631612650,'买一台传真机',10000,1,1,1,1,0,21,0
631612652,'bili_60935764126',5000,0,0,0,0,0,75,0
631612653,'bili_19195254946',5000,0,0,0,1,0,0,0
631612655,'林梓涵父亲',10000,0,0,0,0,0,15,0
631612658,'bili_21852223261',5000,0,0,0,0,0,3,0
631612664,'钻石王老二哟',10000,0,0,0,0,0,2,0
631612670,'bili_13853911123',5000,0,0,0,0,0,1,0
631612677,'魅男带你追女生',10000,0,1,0,0,0,11,7
631612679,'bili_74406179311',5000,0,0,0,1,0,0,0
631612683,'bili_86393408889',10000,0,0,0,0,0,1,0
631612686,'bili_40601515803',5000,0,0,0,0,0,13,0
631612695,'浸月-慧思',10000,0,0,1,0,0,45,1
631612697,'bili_29045899361',10000,0,0,1,0,0,5,0
631612702,'亿图图示',10000,0,1,0,0,0,10,1412
631612707,'bili_10030060063',5000,0,0,0,1,0,1,0
631612708,'苏某人爱吃土',10000,0,0,0,0,0,11,0
631612711,'bili_19547794580',10000,0,0,1,1,1,9,0
631612714,'bili_28731204420',5000,0,0,0,0,0,1,0
631612715,'bili_10648282257',5000,0,0,0,0,0,1,0
631612719,'镜与白',10000,0,0,1,0,0,8,0
631612735,'TC拾柒',10000,0,0,1,0,0,83,0
631612744,'bili_29226410192',5000,0,0,0,0,0,1,0
631612749,'bili_54439718694',10000,0,0,0,0,0,0,0
631612755,'bili_60429933267',5000,0,0,0,0,0,1,0
631612766,'乙己乙',10000,0,0,0,1,0,5,0
631612776,'bili_58786294980',5000,0,0,0,0,0,2,0
631612780,'林瑞栖',10000,0,0,0,1,0,4,0
631612782,'bili_46931802855',5000,0,0,0,0,0,3,0
631612787,'领硬币玩家',10000,0,1,1,0,0,108,0
631612788,'bili_53645273939',5000,0,0,0,0,0,1,0
631612795,'bili_24040572085',5000,0,0,0,0,0,7,0
631612807,'起起要早起',5000,0,0,0,0,0,2,0
631612808,'快来7香菜',10000,1,1,1,1,0,316,3
631612810,'bili_86431277448',5000,0,0,0,0,0,1,0
631612821,'疯狂下鸡蛋',10000,0,0,1,0,0,86,0
631612824,'1zfairy',5000,0,0,0,0,0,7,0
631612834,'别烦我了吖',10000,0,0,1,1,0,8,0
631612837,'风华乱雪',10000,0,0,1,0,0,0,0
631612841,'深一号',5000,1,0,0,0,0,0,0
631612842,'我叫阿奎',10000,0,0,1,1,0,10,1
631612843,'FGT-咖啡豆',10000,0,1,1,0,0,59,1
631612844,'bili_24468569512',5000,0,0,0,0,0,1,0
631612846,'是筱筱的呀',10000,0,0,0,1,0,0,0
631612850,'lm1804',10000,1,0,0,0,0,1,0
631612855,'bili_78102857728',5000,0,0,0,0,0,1,0
631612856,'江淮北啊啊',10000,0,0,0,0,0,7,0
631612860,'哩哒孔',10000,0,0,0,0,0,6,0
631612863,'浅阳之下',5000,0,0,0,0,0,2,0
631612868,'bili_82600026922',10000,0,0,0,1,0,4,0
631612869,'如梦倾城SV天星',5000,0,1,0,0,0,0,0
631612870,'bili_52549011444',5000,0,0,0,0,0,1,0
631612872,'bili_28392223321',5000,0,0,0,0,0,1,0
631612881,'yll2651',10000,0,0,0,0,0,8,0
